"Marca temporal","¿Usas herramientas de inteligencia artificial (como ChatGPT, Gemini, DeepSeek, etc.)?","Sexo","Municipio ","1 Creo que es importante aprender sobre inteligencia artificial (IA)","
2 Las clases de inteligencia artificial (IA) son importantes","3 Creo que en la escuela se debería impartir clases de inteligencia artificial (IA)","4 Creo que todos los estudiantes deberían aprender sobre inteligencia artificial (IA) en la escuela","5 La inteligencia artificial (IA) es muy importante para el desarrollo de la sociedad","6 La inteligencia artificial (IA) está relacionada con mi vida","7 Utilizaré la inteligencia artificial (IA) para resolver problemas de la vida cotidiana","8 La inteligencia artificial (IA) me ayuda a resolver problemas en la vida real","9 En el futuro necesitare inteligencia artificial (IA) en mi vida","10 La inteligencia artificial (IA) es necesaria para todos","11 Quiero trabajar en el campo de la inteligencia artificial (IA)","12 Elegiré un trabajo en el campo de la inteligencia artificial (IA)","13 Participaría en un club relacionado con la inteligencia artificial (IA) si lo hubiera","14 Me gusta utilizar objetos relacionados con la inteligencia artificial (IA)","15 Es divertido aprender sobre la inteligencia artificial (IA)","
16 Quiero seguir aprendiendo sobre la inteligencia artificial (IA)","17 Me interesa los programas de televisión o los videos en línea relacionados con la inteligencia artificial (IA)","18 Quiero hacer algo que haga la vida más humana más cómoda a través de la inteligencia artificial (IA)","
19 Me interesa el desarrollo de la inteligencia artificial (IA)","
20 Es interesante utilizar la inteligencia artificial (IA)","21 Creo que debería haber más horas de clase dedicadas a la inteligencia artificial (IA) en la escuela","22 Creo que puedo manejar bien la inteligencia artificial (IA)"
"2025/05/28 9:25:52 p.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/28 9:27:51 p.m. GMT-6","Sí, ir al cuestionario","Hombre","Durango","3","3","2","3","3","1","1","1","3","3","1","3","3","3","4","3","2","3","3","2","1","4"
"2025/05/28 9:27:52 p.m. GMT-6","Sí, ir al cuestionario","Mujer","Durango","1","1","1","1","4","1","1","4","1","3","3","3","3","1","1","1","4","4","3","3","3","3"
"2025/05/28 9:33:03 p.m. GMT-6","Sí, ir al cuestionario","Hombre","Durango","3","3","3","3","4","4","5","4","5","5","5","3","1","3","1","1","3","3","4","3","4","1"
"2025/05/28 9:37:44 p.m. GMT-6","Sí, ir al cuestionario","Hombre","Durango","5","5","5","5","5","5","5","5","5","5","3","3","3","5","5","5","5","3","5","5","2","3"
"2025/05/28 9:46:13 p.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/28 9:54:28 p.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/28 9:56:40 p.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/28 9:57:27 p.m. GMT-6","A veces, ir al cuestionario","Hombre","Gómez Palacio","2","4","3","3","2","2","2","2","2","2","1","2","1","3","2","2","2","2","2","2","1","1"
"2025/05/28 9:59:10 p.m. GMT-6","A veces, ir al cuestionario","Hombre","Durango","5","5","5","5","5","5","3","4","4","4","5","3","4","5","5","5","5","5","5","5","5","3"
"2025/05/28 10:01:50 p.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/28 10:12:21 p.m. GMT-6","Sí, ir al cuestionario","Hombre","Gómez Palacio","4","4","4","4","3","3","3","4","4","3","4","4","4","4","4","3","4","3","4","3","2","4"
"2025/05/28 10:13:05 p.m. GMT-6","A veces, ir al cuestionario","Hombre","Durango","1","1","3","3","4","1","3","3","3","3","4","1","3","3","3","3","3","3","3","3","2","3"
"2025/05/28 10:24:37 p.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/28 10:25:47 p.m. GMT-6","A veces, ir al cuestionario","Mujer","Durango","3","3","2","2","2","1","1","1","2","1","1","1","1","1","2","1","1","1","1","1","1","2"
"2025/05/28 10:27:34 p.m. GMT-6","Sí, ir al cuestionario","Mujer","Durango","5","5","5","5","3","3","3","3","3","3","4","3","3","3","3","3","4","3","4","3","4","3"
"2025/05/28 10:29:31 p.m. GMT-6","A veces, ir al cuestionario","Mujer","Durango","4","4","4","3","1","1","1","1","3","3","1","1","1","1","3","3","3","3","3","3","1","2"
"2025/05/28 10:31:26 p.m. GMT-6","A veces, ir al cuestionario","Mujer","Durango","1","1","1","1","1","2","3","2","2","3","2","2","2","2","2","2","2","2","2","2","2","2"
"2025/05/28 10:34:58 p.m. GMT-6","A veces, ir al cuestionario","Hombre","Durango","5","3","4","4","4","2","2","2","5","5","5","5","3","3","3","3","2","3","4","3","2","3"
"2025/05/28 10:40:05 p.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/28 10:43:26 p.m. GMT-6","A veces, ir al cuestionario","Hombre","Durango","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"2025/05/28 10:46:15 p.m. GMT-6","A veces, ir al cuestionario","Hombre","Gómez Palacio","4","4","4","4","5","5","4","4","5","4","4","3","4","4","4","4","5","4","4","4","4","4"
"2025/05/28 10:49:04 p.m. GMT-6","A veces, ir al cuestionario","Hombre","Durango","3","2","2","2","2","2","1","1","2","1","1","1","1","2","2","2","3","1","1","2","1","2"
"2025/05/28 10:56:35 p.m. GMT-6","A veces, ir al cuestionario","Hombre","Durango","4","5","4","3","3","2","4","2","4","1","3","2","4","4","4","3","4","4","3","4","3","5"
"2025/05/28 10:56:43 p.m. GMT-6","Sí, ir al cuestionario","Hombre","Durango","5","1","3","5","3","1","4","5","5","3","5","3","1","4","5","5","5","5","5","5","5","5"
"2025/05/28 11:05:10 p.m. GMT-6","Sí, ir al cuestionario","Hombre","Gómez Palacio","3","3","3","3","3","1","1","1","3","3","1","3","3","3","3","3","3","3","3","3","3","3"
"2025/05/28 11:11:37 p.m. GMT-6","Sí, ir al cuestionario","Mujer","Gómez Palacio","1","1","1","1","2","2","2","2","2","3","1","2","1","2","1","1","1","2","1","2","2","1"
"2025/05/28 11:13:12 p.m. GMT-6","A veces, ir al cuestionario","Hombre","Durango","4","5","2","3","1","2","3","1","5","2","4","1","2","5","4","4","2","4","4","4","4","2"
"2025/05/28 11:20:16 p.m. GMT-6","A veces, ir al cuestionario","Mujer","Durango","4","3","3","2","2","1","4","2","3","4","2","1","5","4","5","5","5","3","2","5","1","5"
"2025/05/28 11:23:39 p.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/28 11:39:48 p.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/28 11:47:13 p.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/28 11:58:45 p.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/29 12:12:24 a.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/29 6:05:47 a.m. GMT-6","A veces, ir al cuestionario","Hombre","Durango","3","1","1","1","1","1","1","1","3","1","1","1","1","3","3","3","4","3","3","3","3","2"
"2025/05/29 6:26:01 a.m. GMT-6","Sí, ir al cuestionario","Hombre","Gómez Palacio","3","3","2","2","2","1","1","1","1","3","1","1","1","1","3","1","1","1","2","4","1","4"
"2025/05/29 6:30:11 a.m. GMT-6","Sí, ir al cuestionario","Mujer","Gómez Palacio","1","1","1","1","1","2","3","1","1","1","2","2","2","2","2","2","2","1","1","1","1","1"
"2025/05/29 6:43:14 a.m. GMT-6","A veces, ir al cuestionario","Hombre","Durango","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"2025/05/29 6:55:04 a.m. GMT-6","A veces, ir al cuestionario","Mujer","Durango","3","3","2","2","3","1","2","2","3","3","3","3","2","3","3","3","4","3","3","3","2","2"
"2025/05/29 7:17:06 a.m. GMT-6","A veces, ir al cuestionario","Hombre","Durango","5","5","5","5","5","2","4","4","5","5","2","2","3","4","4","4","2","1","2","4","4","5"
"2025/05/29 7:26:41 a.m. GMT-6","A veces, ir al cuestionario","Hombre","Durango","3","1","4","1","4","3","3","4","3","3","3","1","3","1","1","3","3","4","1","3","3","3"
"2025/05/29 7:27:54 a.m. GMT-6","A veces, ir al cuestionario","Hombre","Durango","5","3","4","5","4","3","5","4","5","5","5","3","5","5","5","5","5","4","3","5","5","4"
"2025/05/29 7:35:45 a.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/29 7:38:56 a.m. GMT-6","Sí, ir al cuestionario","Hombre","Durango","1","1","1","1","1","1","1","1","1","1","1","2","1","1","1","1","1","1","1","1","1","1"
"2025/05/29 7:40:45 a.m. GMT-6","A veces, ir al cuestionario","Hombre","Durango","4","4","4","4","1","1","2","3","3","2","2","2","2","1","5","4","3","3","3","4","2","3"
"2025/05/29 7:58:18 a.m. GMT-6","A veces, ir al cuestionario","Mujer","Durango","3","3","2","3","2","1","3","1","1","1","1","1","3","3","3","3","3","3","3","3","1","1"
"2025/05/29 7:59:37 a.m. GMT-6","Sí, ir al cuestionario","Mujer","Durango","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"2025/05/29 8:02:13 a.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/29 8:04:04 a.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/29 8:07:43 a.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/29 8:19:48 a.m. GMT-6","Sí, ir al cuestionario","Hombre","Durango","1","1","1","1","1","3","1","4","1","1","1","3","3","1","1","1","1","1","1","1","1","3"
"2025/05/29 8:20:25 a.m. GMT-6","Sí, ir al cuestionario","Hombre","Durango","3","4","3","3","4","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"2025/05/29 8:22:06 a.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/29 8:22:08 a.m. GMT-6","A veces, ir al cuestionario","Hombre","Durango","4","2","3","2","3","3","3","1","1","3","1","1","2","3","3","3","1","2","4","4","1","1"
"2025/05/29 8:22:42 a.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/29 8:25:44 a.m. GMT-6","A veces, ir al cuestionario","Hombre","Durango","1","2","1","1","1","1","1","3","3","4","5","4","4","4","1","4","4","4","4","4","4","4"
"2025/05/29 8:27:48 a.m. GMT-6","Sí, ir al cuestionario","Hombre","Durango","5","3","2","2","1","1","1","1","1","1","1","1","1","1","2","1","1","2","2","3","1","2"
"2025/05/29 8:29:44 a.m. GMT-6","Sí, ir al cuestionario","Mujer","Durango","1","4","3","3","3","2","2","1","3","2","2","2","2","2","2","2","1","2","2","2","2","1"
"2025/05/29 8:30:38 a.m. GMT-6","Sí, ir al cuestionario","Mujer","Durango","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"2025/05/29 8:31:06 a.m. GMT-6","Sí, ir al cuestionario","Hombre","Durango","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"2025/05/29 8:31:58 a.m. GMT-6","Sí, ir al cuestionario","Mujer","Durango","5","5","1","1","2","2","5","5","3","3","4","5","2","2","4","5","5","5","5","5","5","4"
"2025/05/29 8:32:45 a.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/29 8:41:02 a.m. GMT-6","Sí, ir al cuestionario","Hombre","Durango","2","4","3","2","4","4","4","4","3","4","2","3","3","3","3","2","2","4","3","4","4","2"
"2025/05/29 8:41:17 a.m. GMT-6","A veces, ir al cuestionario","Hombre","Durango","3","3","3","3","3","2","2","2","3","3","2","2","2","3","3","3","2","2","3","3","2","3"
"2025/05/29 8:44:13 a.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/29 8:44:50 a.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/29 8:45:20 a.m. GMT-6","A veces, ir al cuestionario","Hombre","Durango","2","2","2","3","4","3","2","2","3","3","3","3","1","2","2","2","3","3","3","3","2","2"
"2025/05/29 8:45:24 a.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/29 8:48:25 a.m. GMT-6","A veces, ir al cuestionario","Mujer","Durango","4","3","3","3","2","2","3","2","3","3","3","2","3","3","4","3","4","4","3","3","2","3"
"2025/05/29 8:48:30 a.m. GMT-6","Sí, ir al cuestionario","Mujer","Durango","5","4","1","1","2","1","1","1","1","1","1","1","1","1","3","2","2","2","2","2","2","2"
"2025/05/29 8:49:11 a.m. GMT-6","A veces, ir al cuestionario","Mujer","Durango","1","1","2","2","2","3","2","2","3","2","3","2","2","2","3","3","2","2","2","3","2","2"
"2025/05/29 8:52:05 a.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/29 8:53:29 a.m. GMT-6","Sí, ir al cuestionario","Hombre","Durango","3","3","3","3","3","3","3","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"2025/05/29 8:54:16 a.m. GMT-6","","Mujer","Durango","4","4","4","4","2","1","4","1","3","3","2","3","2","3","4","4","2","3","3","4","4","4"
"2025/05/29 8:54:47 a.m. GMT-6","Sí, ir al cuestionario","Mujer","Durango","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"2025/05/29 8:54:56 a.m. GMT-6","A veces, ir al cuestionario","Mujer","Durango","3","4","3","3","3","3","3","3","3","2","1","1","1","3","3","3","2","2","3","3","2","3"
"2025/05/29 8:58:51 a.m. GMT-6","A veces, ir al cuestionario","Mujer","Durango","1","1","1","1","1","2","2","3","3","2","2","2","2","2","1","1","2","2","1","1","2","2"
"2025/05/29 8:59:27 a.m. GMT-6","Sí, ir al cuestionario","Hombre","Durango","5","3","4","5","3","3","1","1","3","5","1","3","3","3","4","4","4","4","4","5","3","4"
"2025/05/29 8:59:37 a.m. GMT-6","Sí, ir al cuestionario","Mujer","Durango","1","4","2","4","4","4","3","3","3","2","2","2","2","2","2","3","2","2","2","2","2","2"
"2025/05/29 9:03:08 a.m. GMT-6","A veces, ir al cuestionario","Hombre","Durango","5","5","5","5","4","4","3","4","5","5","4","4","4","5","4","4","4","4","4","4","4","4"
"2025/05/29 9:05:44 a.m. GMT-6","A veces, ir al cuestionario","Mujer","Durango","5","5","5","5","5","5","3","5","5","5","5","1","1","1","1","5","5","5","5","5","5","5"
"2025/05/29 9:05:47 a.m. GMT-6","Sí, ir al cuestionario","Hombre","Durango","3","3","3","3","3","3","4","3","2","3","2","1","3","1","3","3","3","2","4","3","2","3"
"2025/05/29 9:08:17 a.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/29 9:09:21 a.m. GMT-6","A veces, ir al cuestionario","Hombre","Durango","5","5","5","5","5","5","2","5","5","5","2","2","5","5","5","5","5","5","5","5","5","5"
"2025/05/29 9:10:19 a.m. GMT-6","","Mujer","Durango","4","5","4","5","5","5","5","5","4","4","4","4","4","5","5","5","4","4","5","4","4","2"
"2025/05/29 9:13:40 a.m. GMT-6","A veces, ir al cuestionario","Mujer","Durango","3","4","3","2","2","3","1","1","3","2","1","1","1","3","3","2","2","1","1","2","1","3"
"2025/05/29 9:20:16 a.m. GMT-6","Sí, ir al cuestionario","Hombre","Durango","1","1","2","2","3","4","4","2","4","3","2","2","2","3","3","3","2","3","2","2","2","2"
"2025/05/29 9:24:35 a.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/29 9:25:03 a.m. GMT-6","Sí, ir al cuestionario","Mujer","Durango","1","2","1","1","2","3","4","5","5","5","1","2","1","1","1","1","1","1","1","1","4","5"
"2025/05/29 9:25:23 a.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/29 9:25:37 a.m. GMT-6","","Mujer","Durango","2","2","2","4","2","2","4","4","4","4","2","2","2","4","4","4","4","4","4","4","2","4"
"2025/05/29 9:27:01 a.m. GMT-6","A veces, ir al cuestionario","Hombre","Gómez Palacio","2","2","2","2","1","2","2","2","3","3","2","2","2","2","3","2","2","2","2","2","2","2"
"2025/05/29 9:27:16 a.m. GMT-6","A veces, ir al cuestionario","Hombre","Durango","1","1","1","1","1","1","1","3","1","1","5","5","2","1","1","1","1","1","1","1","1","1"
"2025/05/29 9:28:20 a.m. GMT-6","Sí, ir al cuestionario","Hombre","Durango","5","5","5","5","3","3","4","5","5","3","5","4","5","5","4","4","3","3","3","5","4","3"
"2025/05/29 9:34:31 a.m. GMT-6","Sí, ir al cuestionario","Hombre","Gómez Palacio","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"2025/05/29 9:34:40 a.m. GMT-6","A veces, ir al cuestionario","Mujer","Durango","3","3","3","3","3","3","3","3","3","3","3","4","4","3","3","3","3","3","3","3","3","3"
"2025/05/29 9:36:26 a.m. GMT-6","A veces, ir al cuestionario","Hombre","Durango","1","1","1","1","5","1","4","4","5","4","4","5","5","5","4","4","4","2","4","5","5","3"
"2025/05/29 9:36:51 a.m. GMT-6","A veces, ir al cuestionario","Hombre","Durango","4","3","4","4","4","3","3","3","2","3","2","2","2","2","3","3","3","2","2","3","2","3"
"2025/05/29 9:40:29 a.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/29 9:41:04 a.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/29 9:41:30 a.m. GMT-6","A veces, ir al cuestionario","Hombre","Gómez Palacio","4","4","4","4","4","3","3","1","3","3","1","4","4","3","4","4","3","3","3","4","4","4"
"2025/05/29 9:42:39 a.m. GMT-6","A veces, ir al cuestionario","Mujer","Durango","1","1","1","1","3","4","3","4","3","5","5","5","1","4","3","2","3","2","3","3","3","4"
"2025/05/29 9:43:16 a.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/29 9:43:46 a.m. GMT-6","Sí, ir al cuestionario","Hombre","Durango","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"2025/05/29 9:44:11 a.m. GMT-6","A veces, ir al cuestionario","Mujer","Durango","4","5","4","5","5","3","4","4","3","3","3","3","1","2","3","4","1","2","3","4","4","5"
"2025/05/29 9:44:34 a.m. GMT-6","A veces, ir al cuestionario","Hombre","Durango","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"2025/05/29 9:45:00 a.m. GMT-6","Sí, ir al cuestionario","Hombre","Durango","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
"2025/05/29 9:45:08 a.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/29 9:46:23 a.m. GMT-6","A veces, ir al cuestionario","Hombre","Durango","3","3","3","3","3","4","3","3","5","5","4","3","3","3","3","3","3","3","3","3","3","3"
"2025/05/29 9:46:25 a.m. GMT-6","Sí, ir al cuestionario","Mujer","Durango","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
"2025/05/29 9:48:01 a.m. GMT-6","Sí, ir al cuestionario","Mujer","Durango","5","5","3","5","5","5","5","5","5","5","2","2","3","5","5","5","4","2","3","5","3","5"
"2025/05/29 9:48:29 a.m. GMT-6","A veces, ir al cuestionario","Mujer","Durango","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"2025/05/29 9:48:36 a.m. GMT-6","A veces, ir al cuestionario","Mujer","Durango","4","5","5","4","5","4","5","4","5","4","5","4","4","4","4","5","5","5","4","5","5","3"
"2025/05/29 9:51:32 a.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/29 9:54:56 a.m. GMT-6","A veces, ir al cuestionario","Hombre","Durango","3","4","4","4","4","3","3","2","2","2","2","2","3","2","2","2","2","2","2","2","3","2"
"2025/05/29 9:56:15 a.m. GMT-6","A veces, ir al cuestionario","Mujer","Durango","5","5","5","5","5","3","3","3","3","3","3","3","3","3","3","3","3","3","3","5","3","3"
"2025/05/29 9:56:19 a.m. GMT-6","Sí, ir al cuestionario","Mujer","Durango","5","5","3","4","3","2","1","1","1","1","1","1","1","1","1","1","1","3","2","2","2","5"
"2025/05/29 9:56:55 a.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/29 9:57:52 a.m. GMT-6","","Hombre","Durango","3","4","4","4","2","1","1","1","2","1","1","1","1","2","2","3","3","2","3","2","1","1"
"2025/05/29 9:57:54 a.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/29 9:59:11 a.m. GMT-6","A veces, ir al cuestionario","Mujer","Gómez Palacio","3","4","3","3","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"2025/05/29 10:00:24 a.m. GMT-6","A veces, ir al cuestionario","Hombre","Gómez Palacio","4","4","4","4","3","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"2025/05/29 10:03:12 a.m. GMT-6","A veces, ir al cuestionario","Mujer","Durango","3","3","3","2","4","2","1","1","2","1","1","2","3","2","3","3","3","2","3","3","2","2"
"2025/05/29 10:06:45 a.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/29 10:08:27 a.m. GMT-6","Sí, ir al cuestionario","Hombre","Durango","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
"2025/05/29 10:08:28 a.m. GMT-6","A veces, ir al cuestionario","Hombre","Durango","5","5","5","5","5","5","5","5","5","5","4","3","5","4","5","5","5","5","5","5","5","5"
"2025/05/29 10:08:49 a.m. GMT-6","A veces, ir al cuestionario","Hombre","Durango","4","4","4","4","4","4","3","4","4","4","3","4","4","4","4","4","3","4","3","4","4","4"
"2025/05/29 10:10:10 a.m. GMT-6","A veces, ir al cuestionario","Mujer","Durango","3","3","3","4","2","1","3","3","3","2","1","2","3","3","4","4","4","3","3","3","2","3"
"2025/05/29 10:14:05 a.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/29 10:15:55 a.m. GMT-6","A veces, ir al cuestionario","Hombre","Durango","5","5","1","2","3","1","1","1","1","1","1","1","2","2","2","2","2","2","3","5","2","2"
"2025/05/29 10:16:35 a.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/29 10:17:02 a.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/29 10:18:32 a.m. GMT-6","A veces, ir al cuestionario","Mujer","Durango","5","5","5","5","4","4","4","4","4","4","3","4","3","4","4","4","4","4","4","4","3","4"
"2025/05/29 10:20:14 a.m. GMT-6","Sí, ir al cuestionario","Mujer","Durango","3","3","5","3","5","3","3","3","4","5","5","5","5","3","3","3","5","4","4","3","5","4"
"2025/05/29 10:20:41 a.m. GMT-6","Sí, ir al cuestionario","Mujer","Durango","5","5","5","5","5","4","4","4","4","4","3","3","3","3","3","3","3","3","3","3","3","3"
"2025/05/29 10:20:51 a.m. GMT-6","A veces, ir al cuestionario","Mujer","Gómez Palacio","2","2","3","3","2","2","2","1","1","2","2","1","2","4","3","2","2","4","3","3","3","2"
"2025/05/29 10:21:40 a.m. GMT-6","Sí, ir al cuestionario","Hombre","Durango","3","4","4","4","3","3","2","1","4","3","3","1","3","2","3","4","3","4","4","5","3","2"
"2025/05/29 10:22:40 a.m. GMT-6","Sí, ir al cuestionario","Hombre","Durango","1","1","1","1","2","3","4","4","3","3","4","3","3","2","2","3","3","3","3","2","1","1"
"2025/05/29 10:23:11 a.m. GMT-6","A veces, ir al cuestionario","Mujer","Durango","5","4","4","4","3","3","3","2","2","2","3","3","3","3","3","3","3","3","3","3","3","3"
"2025/05/29 10:23:57 a.m. GMT-6","A veces, ir al cuestionario","Hombre","Durango","5","5","5","5","5","4","4","5","5","5","5","3","4","5","5","5","5","5","5","5","5","4"
"2025/05/29 10:26:17 a.m. GMT-6","Sí, ir al cuestionario","Hombre","Durango","3","2","2","3","3","2","2","4","3","2","1","2","4","5","5","3","5","2","3","2","2","5"
"2025/05/29 10:26:36 a.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/29 10:28:11 a.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/29 10:28:33 a.m. GMT-6","A veces, ir al cuestionario","Mujer","Durango","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
"2025/05/29 10:29:22 a.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/29 10:30:46 a.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/29 10:31:24 a.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/29 10:33:36 a.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/29 10:36:23 a.m. GMT-6","Sí, ir al cuestionario","Mujer","Durango","5","5","5","5","1","2","1","3","4","1","3","3","3","3","3","3","3","3","2","3","3","3"
"2025/05/29 10:36:34 a.m. GMT-6","Sí, ir al cuestionario","Hombre","Gómez Palacio","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
"2025/05/29 10:37:06 a.m. GMT-6","A veces, ir al cuestionario","Mujer","Durango","4","4","5","4","4","1","1","1","3","1","1","1","3","2","4","4","3","3","4","4","4","4"
"2025/05/29 10:37:55 a.m. GMT-6","A veces, ir al cuestionario","Mujer","Durango","3","3","3","3","3","5","5","4","4","5","3","5","5","5","5","5","4","5","4","3","3","3"
"2025/05/29 10:38:27 a.m. GMT-6","A veces, ir al cuestionario","Hombre","Durango","4","4","3","3","3","2","2","2","2","2","1","1","1","4","3","3","2","2","2","3","2","3"
"2025/05/29 10:39:48 a.m. GMT-6","A veces, ir al cuestionario","Mujer","Guadalupe Victoria","5","5","5","5","5","2","3","2","3","4","5","4","4","4","5","5","5","3","5","5","3","4"
"2025/05/29 10:40:02 a.m. GMT-6","Sí, ir al cuestionario","Hombre","Guadalupe Victoria","5","1","4","3","3","3","3","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
"2025/05/29 10:44:19 a.m. GMT-6","A veces, ir al cuestionario","Hombre","Gómez Palacio","4","3","3","4","4","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"2025/05/29 10:50:09 a.m. GMT-6","A veces, ir al cuestionario","Mujer","Durango","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"2025/05/29 10:55:24 a.m. GMT-6","Sí, ir al cuestionario","Mujer","Durango","4","2","4","2","4","3","3","3","3","3","3","2","3","4","4","4","4","4","3","3","3","3"
"2025/05/29 10:58:01 a.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/29 10:59:08 a.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/29 10:59:36 a.m. GMT-6","A veces, ir al cuestionario","Hombre","Durango","3","3","4","4","3","4","2","4","4","4","2","2","2","3","4","4","3","4","3","4","4","4"
"2025/05/29 11:00:28 a.m. GMT-6","","Hombre","Durango","5","3","3","3","3","2","2","2","2","3","1","1","1","3","4","3","1","3","3","3","3","3"
"2025/05/29 11:00:51 a.m. GMT-6","A veces, ir al cuestionario","Mujer","Gómez Palacio","4","3","4","4","2","2","2","3","3","3","2","3","3","4","3","3","3","3","3","3","2","3"
